ASN,Prefix,Max prefix length
AS37340,41.217.60.0/23,23
AS37340,41.217.62.0/23,23
AS37340,41.217.64.0/23,23
AS37340,41.217.66.0/23,23
AS37340,41.217.68.0/23,23
AS37340,41.217.70.0/23,23
AS37340,41.217.72.0/23,23
AS37340,41.217.74.0/23,23
AS37340,41.217.76.0/23,23
AS37340,41.217.78.0/23,23
AS37340,41.217.80.0/23,23
AS37340,41.217.82.0/23,23
AS37340,41.217.84.0/23,23
AS37340,41.217.86.0/23,23
AS37340,41.217.88.0/23,23
AS37340,41.217.90.0/23,23
AS37340,41.217.92.0/23,23
AS37340,41.217.94.0/23,23
AS37340,41.217.96.0/23,23
AS37340,41.217.98.0/23,23
AS37340,41.217.100.0/23,23
AS37340,41.217.102.0/23,23
AS37340,41.217.104.0/23,23
AS37340,41.217.106.0/23,23
AS37340,41.217.108.0/23,23
AS37340,41.217.110.0/23,23
AS37340,41.217.112.0/23,23
AS37340,41.217.114.0/23,23
AS37340,41.217.116.0/23,23
AS37340,41.217.118.0/23,23
AS37340,41.217.120.0/23,23
AS37340,41.217.122.0/23,23
AS37340,41.217.124.0/23,23
AS37340,41.217.126.0/23,23
AS37340,154.118.0.0/23,23
AS37340,154.118.2.0/23,23
AS37340,154.118.4.0/23,23
AS37340,154.118.6.0/23,23
AS37340,154.118.8.0/23,23
AS37340,154.118.10.0/23,23
AS37340,154.118.12.0/23,23
AS37340,154.118.14.0/23,23
AS37340,154.118.16.0/23,23
AS37340,154.118.18.0/23,23
AS37340,154.118.20.0/23,23
AS37340,154.118.22.0/23,23
AS37340,154.118.24.0/23,23
AS37340,154.118.26.0/23,23
AS37340,154.118.28.0/23,23
AS37340,154.118.30.0/23,23
AS37340,154.118.32.0/23,23
AS37340,154.118.34.0/23,23
AS37340,154.118.36.0/23,23
AS37340,154.118.38.0/23,23
AS37340,154.118.40.0/23,23
AS37340,154.118.42.0/23,23
AS37340,154.118.44.0/23,23
AS37340,154.118.46.0/23,23
AS37340,154.118.48.0/23,23
AS37340,154.118.50.0/23,23
AS37340,154.118.52.0/23,23
AS37340,154.118.54.0/23,23
AS37340,154.118.56.0/23,23
AS37340,154.118.58.0/23,23
AS37340,154.118.60.0/23,23
AS37340,154.118.62.0/23,23
AS37340,154.118.64.0/23,23
AS37340,154.118.66.0/23,23
AS37340,154.118.68.0/23,23
AS37340,154.118.70.0/23,23
AS37340,154.118.72.0/23,23
AS37340,154.118.74.0/23,23
AS37340,154.118.76.0/23,23
AS37340,154.118.78.0/23,23
AS37340,154.118.80.0/23,23
AS37340,154.118.82.0/23,23
AS37340,154.118.84.0/23,23
AS37340,154.118.86.0/23,23
AS37340,154.118.88.0/23,23
AS37340,154.118.90.0/23,23
AS37340,154.118.92.0/23,23
AS37340,154.118.94.0/23,23
AS37340,154.118.96.0/23,23
AS37340,154.118.98.0/23,23
AS37340,154.118.100.0/23,23
AS37340,154.118.102.0/23,23
AS37340,154.118.104.0/23,23
AS37340,154.118.106.0/23,23
AS37340,154.118.108.0/23,23
AS37340,154.118.110.0/23,23
AS37340,154.118.112.0/23,23
AS37340,154.118.114.0/23,23
AS37340,154.118.116.0/23,23
AS37340,154.118.118.0/23,23
AS37340,154.118.120.0/23,23
AS37340,154.118.122.0/23,23
AS37340,154.118.124.0/23,23
AS37340,154.118.126.0/23,23
AS37340,154.120.64.0/23,23
AS37340,154.120.66.0/23,23
AS37340,154.120.68.0/23,23
AS37340,154.120.70.0/23,23
AS37340,154.120.72.0/23,23
AS37340,154.120.74.0/23,23
AS37340,154.120.76.0/23,23
AS37340,154.120.78.0/23,23
AS37340,154.120.80.0/23,23
AS37340,154.120.82.0/23,23
AS37340,154.120.84.0/23,23
AS37340,154.120.86.0/23,23
AS37340,154.120.88.0/23,23
AS37340,154.120.90.0/23,23
AS37340,154.120.92.0/23,23
AS37340,154.120.94.0/23,23
AS37340,154.120.96.0/23,23
AS37340,154.120.98.0/23,23
AS37340,154.120.100.0/23,23
AS37340,154.120.102.0/23,23
AS37340,154.120.104.0/23,23
AS37340,154.120.106.0/23,23
AS37340,154.120.108.0/23,23
AS37340,154.120.110.0/23,23
AS37340,154.120.112.0/23,23
AS37340,154.120.114.0/23,23
AS37340,154.120.116.0/23,23
AS37340,154.120.118.0/23,23
AS37340,154.120.120.0/23,23
AS37340,154.120.122.0/23,23
AS37340,154.120.124.0/23,23
AS37340,154.120.126.0/23,23
AS37340,2c0f:f5a0::/32,32
AS37340,197.242.96.0/23,23
AS37340,197.242.98.0/23,23
AS37340,197.242.100.0/23,23
AS37340,197.242.102.0/23,23
AS37340,197.242.104.0/23,23
AS37340,197.242.106.0/23,23
AS37340,197.242.108.0/23,23
AS37340,197.242.110.0/23,23
AS37340,197.242.112.0/23,23
AS37340,197.242.114.0/23,23
AS37340,197.242.116.0/23,23
AS37340,197.242.118.0/23,23
AS37340,197.242.120.0/23,23
AS37340,197.242.122.0/23,23
AS37340,197.242.124.0/23,23
AS37340,197.242.126.0/23,23
AS37668,196.10.55.0/24,24
AS37668,2001:43f8:1f5::/48,48
AS37663,196.10.54.0/24,24
AS37663,2001:43f8:1f4::/48,48
AS37474,196.10.52.0/23,23
AS37474,2001:43f8:1f3::/48,48
AS0,196.223.14.0/23,23
AS0,196.223.22.0/23,23
AS0,196.223.30.0/23,23
AS0,2001:43f8:1f0::/47,47
AS0,2001:43f8:1f2::/48,48
AS37686,196.220.64.0/19,23
AS61138,2c0f:f530::/32,44
AS10474,196.28.128.0/18,24
AS10474,2c0f:ff40::/26,64
AS10474,197.80.0.0/13,24
AS10474,196.22.160.0/19,24
AS10474,196.28.64.0/18,24
AS10474,197.88.0.0/13,24
AS10474,196.4.162.0/24,24
AS12258,196.41.128.0/19,24
AS10474,196.2.16.0/20,24
AS12258,196.28.128.0/18,24
AS12258,196.28.64.0/18,24
AS12258,41.86.96.0/19,24
AS10474,196.28.16.0/20,24
AS10474,196.28.192.0/19,24
AS12258,196.2.128.0/19,24
AS10474,41.86.96.0/19,24
AS10474,196.28.32.0/20,24
AS10474,196.2.32.0/19,24
AS10474,196.41.128.0/19,24
AS12258,196.28.192.0/19,24
AS12258,196.2.32.0/19,24
AS10474,196.2.128.0/19,24
AS12258,196.4.162.0/24,24
AS10474,196.28.8.0/24,24
AS10474,196.44.192.0/20,24
AS10474,41.132.0.0/14,24
AS37172,41.76.112.0/21,21
AS37172,196.250.240.0/21,21
AS37172,197.231.144.0/21,21
AS37172,2c0f:ee28::/32,32
AS37564,154.66.152.0/21,22
AS37564,196.220.160.0/19,20
AS37564,197.231.232.0/22,23
AS37564,2c0f:f5f0::/32,36
AS36924,102.67.192.0/18,24
AS36924,2c0f:ecf0::/32,64
AS327767,154.73.32.0/22,24
AS327767,2c0f:f720::/32,48
AS328032,2c0f:f238:8000::/33,33
AS328032,2c0f:f238::/33,33
AS30999,41.76.40.0/21,24
AS30999,102.160.0.0/14,24
AS30999,105.235.144.0/20,24
AS30999,154.71.0.0/19,24
AS30999,196.192.80.0/22,24
AS30999,2001:4248::/32,64
AS37353,41.78.4.0/22,24
AS37353,41.222.224.0/22,24
AS37353,41.222.225.0/24,24
AS37353,41.222.226.0/24,24
AS37353,41.222.227.0/24,24
AS37353,154.70.208.0/20,24
AS37353,197.242.200.0/21,24
AS37353,2c0f:f988::/32,64
AS3741,2c0f:fc00::/27,48
AS3741,196.6.240.0/23,24
AS3741,196.208.0.0/14,24
AS3741,196.34.0.0/15,24
AS3741,197.96.0.0/13,24
AS3741,196.26.0.0/16,24
AS3741,196.33.0.0/16,24
AS3741,196.14.0.0/16,24
AS3741,196.23.0.0/16,24
AS3741,196.4.160.0/23,24
AS3741,196.36.0.0/14,24
AS3741,196.212.0.0/14,24
AS21739,196.202.248.0/22,24
AS19437,154.16.125.0/24,24
AS397384,154.16.159.0/24,24
AS61317,154.70.152.0/22,24
AS29713,154.16.219.0/24,24
AS21769,154.16.99.0/24,24
AS61317,154.127.48.0/20,24
AS49981,154.16.195.0/24,24
AS61317,154.16.0.0/16,24
AS49981,154.16.17.0/24,24
AS20454,154.16.173.0/24,24
AS36351,154.16.96.0/24,24
AS36351,154.16.200.0/24,24
AS132906,154.16.59.0/24,24
AS36666,154.16.138.0/24,24
