ASN,Prefix,Max prefix length
AS278,132.248.30.0/24,24
AS278,132.247.186.0/24,24
AS278,2001:1218:600b::/48,48
AS278,132.247.77.0/24,24
AS278,132.248.34.0/24,24
AS278,132.248.121.0/24,24
AS278,192.100.199.0/24,24
AS278,132.248.145.0/24,24
AS278,132.248.98.0/24,24
AS278,132.247.51.0/24,24
AS278,132.248.196.0/24,24
AS278,132.248.138.0/24,24
AS278,132.248.58.0/24,24
AS278,132.247.68.0/24,24
AS278,132.247.87.0/24,24
AS278,132.248.140.0/24,24
AS278,2001:1218:6004::/48,48
AS278,132.248.251.0/24,24
AS278,132.248.238.0/24,24
AS278,132.248.202.192/27,27
AS278,132.248.80.0/24,24
AS278,2001:1218:6000::/48,48
AS278,132.248.219.0/24,24
AS278,132.247.64.0/24,24
AS278,132.248.169.0/24,24
AS278,132.248.114.0/24,24
AS278,132.247.111.0/24,24
AS28539,138.186.200.0/22,24
AS28539,170.247.172.0/22,24
AS28539,201.150.0.0/21,24
AS28539,201.150.8.0/22,24
AS28539,201.159.96.0/21,24
AS28539,201.159.104.0/22,24
AS28539,201.159.108.0/22,24
AS28539,201.159.124.0/22,24
AS28539,2806:211::/32,32
AS27696,181.189.224.0/19,24
AS27696,190.5.64.0/19,24
AS27696,190.5.96.0/19,24
AS27696,2803:7200::/32,64
AS263239,190.5.68.0/24,24
AS264812,181.189.226.0/24,24
AS52349,2800:9c0::/32,48
AS52349,138.0.8.0/22,24
AS52349,186.148.248.0/21,24
AS52349,170.246.244.0/22,24
AS267693,2803:c1a0::/32,32
AS267693,45.160.224.0/22,24
AS61506,138.204.228.0/22,24
AS264683,168.227.24.0/22,24
AS52314,200.14.116.0/24,24
AS52314,200.124.176.0/21,24
AS52314,2801:0:140::/48,64
AS264683,2801:0:141::/48,64
AS207036,200.1.154.0/24,24
AS27903,138.255.152.0/22,24
AS27903,170.0.176.0/22,24
AS27903,200.89.80.0/21,24
AS27903,2803:fa40::/32,48
AS263728,131.72.232.0/22,22
AS263728,131.72.232.0/24,24
AS263728,131.72.233.0/24,24
AS263728,131.72.234.0/24,24
AS263728,131.72.235.0/24,24
AS263728,2803:380::/32,32
AS265724,45.6.226.0/24,24
AS265724,45.6.225.0/24,24
AS265724,45.6.227.0/24,24
AS265724,45.6.224.0/24,24
AS264668,2803:2220::/32,48
AS264668,45.71.252.0/22,24
AS19192,190.169.0.0/16,32
AS19192,2800:a010::/32,128
AS267799,45.173.14.0/23,23
AS267799,45.173.44.0/24,24
AS263704,138.185.205.0/24,24
AS263704,138.185.206.0/24,24
AS263704,138.185.207.0/24,24
AS52345,200.16.94.0/24,24
AS52345,2801:19:8000::/48,48
AS262149,200.59.16.0/23,24
AS262149,200.59.18.0/23,24
AS262149,200.59.20.0/23,24
AS262149,200.59.22.0/23,24
AS262149,170.83.8.0/23,24
AS262149,170.83.10.0/23,24
AS262149,2800:640::/32,32
AS8053,168.90.92.0/22,22
AS8053,2803:d540::/32,32
AS267778,2803:97a0::/32,32
AS267778,45.171.108.0/24,24
AS267778,45.171.109.0/24,24
AS267778,45.171.110.0/24,24
AS267778,45.171.111.0/24,24
AS267778,45.171.108.0/22,22
AS11081,216.152.160.0/20,24
AS11081,200.26.208.0/21,21
AS52301,200.26.196.0/24,24
AS11081,190.4.128.0/19,24
AS11081,190.4.160.0/19,24
AS11081,190.88.0.0/18,24
AS11081,190.88.128.0/17,20
AS11081,190.88.64.0/18,18
AS11081,200.26.192.0/20,24
AS11081,200.26.208.0/20,20
AS11081,2800:2e0::/32,32
AS27748,190.88.33.0/24,24
AS3549,192.188.45.0/24,24
AS28027,192.188.59.0/24,24
AS28027,200.9.176.0/24,24
AS28027,200.10.147.0/24,24
AS28027,200.10.149.0/24,24
AS28027,200.10.150.0/24,24
AS28027,200.10.151.0/24,24
AS28027,200.126.0.0/20,20
AS28027,200.126.16.0/22,22
AS28027,200.126.20.0/23,23
AS28027,200.126.22.0/24,24
AS28027,200.126.23.0/24,24
AS28027,200.126.24.0/22,22
AS28027,200.126.28.0/24,24
AS28027,200.126.29.0/24,24
AS28027,200.126.30.0/24,24
AS28027,200.126.31.0/24,24
AS28027,2801:0:20::/48,48
AS28027,200.126.10.0/24,24
AS27947,200.10.148.0/24,24
AS264668,45.4.88.0/22,24
AS264668,2803:6ec0::/32,32
AS54540,45.225.75.0/24,24
AS54540,2803:1920::/32,32
AS9009,45.225.75.0/24,24
AS9009,2803:1920::/32,32
AS266671,45.225.75.0/24,24
AS266671,2803:1920::/32,32
AS264794,2803:44c0::/32,48
AS52276,190.99.117.0/24,24
AS52276,190.99.118.0/24,24
AS22869,138.117.143.0/24,24
AS22869,190.99.116.0/24,24
AS264835,170.82.40.0/23,23
AS264835,2801:144::/42,42
AS267906,131.0.111.0/24,24
AS6471,131.0.108.0/24,24
AS6471,131.0.109.0/24,24
AS6471,131.0.110.0/24,24
AS266721,45.229.204.0/22,24
AS266721,2803:2320::/32,48
AS19429,2801:14:4800::/48,48
AS263193,179.0.31.0/24,24
AS27947,45.238.216.0/22,22
AS27947,2801:1c:f000::/48,48
AS61468,45.238.216.0/22,24
AS61468,2801:1c:f000::/48,48
AS23487,45.238.219.0/24,24
AS13381,200.112.224.0/19,22
AS13381,200.112.232.0/24,24
AS13381,200.112.233.0/24,24
AS13381,200.112.234.0/24,24
AS13381,200.112.235.0/24,24
AS13381,200.112.236.0/24,24
AS13381,200.112.237.0/24,24
AS13381,200.112.238.0/24,24
AS13381,200.112.239.0/24,24
AS13381,200.112.224.0/24,24
AS13381,200.112.225.0/24,24
AS13381,200.112.226.0/24,24
AS13381,200.112.227.0/24,24
AS13381,200.112.228.0/24,24
AS13381,200.112.229.0/24,24
AS13381,200.112.230.0/24,24
AS13381,200.112.231.0/24,24
AS13381,200.112.248.0/24,24
AS13381,200.112.249.0/24,24
AS13381,200.112.250.0/24,24
AS13381,200.112.251.0/24,24
AS13381,200.112.252.0/24,24
AS13381,200.112.253.0/24,24
AS13381,200.112.254.0/24,24
AS13381,200.112.255.0/24,24
AS13381,200.112.240.0/24,24
AS13381,200.112.241.0/24,24
AS13381,200.112.242.0/23,24
AS13381,200.112.243.0/24,24
AS13381,200.112.244.0/24,24
AS13381,200.112.245.0/24,24
AS13381,200.112.246.0/24,24
AS13381,200.112.247.0/24,24
AS262167,186.148.208.0/24,24
AS262167,186.148.209.0/24,24
AS262167,186.148.210.0/24,24
AS262167,186.148.211.0/24,24
AS262167,2800:990::/32,32
AS52471,138.99.236.0/22,24
AS52471,168.228.232.0/22,24
AS52471,179.51.64.0/20,24
AS52471,186.148.88.0/21,24
AS52471,2803:ab00::/32,64
AS265657,170.246.84.0/22,24
AS265657,170.246.85.0/24,24
AS265657,170.246.86.0/24,24
AS265657,170.246.87.0/24,24
AS265657,2803:46c0::/32,32
AS52426,186.1.225.0/24,24
AS52426,186.1.234.0/24,24
AS52426,186.1.235.0/24,24
AS52426,190.181.122.0/24,24
AS52426,190.181.123.0/24,24
AS52251,181.225.192.0/19,24
AS52251,186.0.136.0/21,24
AS52251,186.1.224.0/20,24
AS52251,186.1.240.0/21,24
AS52251,190.181.64.0/18,24
AS264668,170.244.208.0/22,24
AS264668,2803:9ac0::/32,32
AS64114,45.169.100.0/22,24
AS64114,2803:7da0::/32,48
AS264635,201.182.27.0/24,24
AS265811,201.182.24.0/24,24
AS265811,201.182.25.0/24,24
AS265811,201.182.26.0/24,24
AS267795,45.172.228.0/22,24
AS7438,200.36.160.0/19,24
AS7438,200.39.0.0/19,24
AS7438,200.76.80.0/20,24
AS7438,201.131.4.0/24,24
AS7438,201.162.128.0/17,24
AS7438,201.166.128.0/18,24
AS7438,2806:200::/32,48
AS264718,200.10.174.0/23,24
AS264718,2801:1d:9000::/48,49
AS265751,190.108.216.0/22,24
AS61442,161.0.120.0/21,24
AS61442,2803:2680::/32,32
AS264668,2803:59c0::/32,32
AS264668,160.20.164.0/22,24
AS267825,45.173.52.0/23,24
AS263775,138.121.100.0/22,24
AS23031,207.248.114.0/23,24
AS266864,45.239.96.0/22,22
AS22122,148.209.0.0/16,16
AS22122,148.209.73.0/24,24
AS22122,148.209.75.0/24,24
AS22122,148.209.76.0/24,24
AS22122,148.209.123.0/24,24
AS22122,148.209.231.0/24,24
AS22122,2801:c4:19::/48,48
AS27891,190.168.192.0/18,18
AS27891,2800:a020::/32,32
AS19114,200.14.34.0/24,24
AS6140,200.14.34.0/24,24
AS28006,200.14.34.0/24,24
AS3549,200.14.34.0/24,24
AS6306,179.20.0.0/14,24
AS6306,179.44.0.0/14,24
AS6306,181.180.0.0/14,24
AS6306,181.184.0.0/14,24
AS6306,186.24.0.0/17,24
AS6306,186.24.128.0/17,24
AS6306,186.25.0.0/16,24
AS6306,186.164.0.0/15,24
AS6306,186.166.0.0/16,24
AS6306,186.184.0.0/15,24
AS6306,186.186.0.0/15,24
AS6306,200.31.128.0/19,24
AS6306,200.35.64.0/18,24
AS6306,200.71.128.0/20,24
AS6306,200.71.144.0/20,24
AS6306,200.71.160.0/19,24
AS6306,2800:6b0::/28,28
AS6306,161.140.0.0/16,24
AS6306,161.212.0.0/16,24
AS6306,161.234.0.0/16,24
AS6306,161.255.0.0/16,24
AS52423,179.48.251.0/24,24
AS52423,179.48.250.0/24,24
AS52423,138.59.18.0/24,24
AS52423,143.202.160.0/24,24
AS52423,179.48.248.0/24,24
AS52423,143.202.163.0/24,24
AS52423,143.202.161.0/24,24
AS52423,138.59.19.0/24,24
AS52423,179.48.249.0/24,24
AS52423,2803:6900:506a::/48,48
AS52423,2803:6900:553::/48,48
AS52423,2803:6900:559::/48,48
AS52423,138.59.17.0/24,24
AS52423,190.112.220.0/23,23
AS52423,190.112.222.0/24,24
AS52423,190.112.223.0/24,24
AS52423,2803:6900:1::/48,48
AS52423,2803:6900:507::/48,48
AS52423,2803:6900:520::/48,48
AS52423,2803:6900:524::/48,48
AS52423,2803:6900:533::/48,48
AS52423,2803:6900:534::/48,48
AS52423,2803:6900:546::/48,48
AS52423,2803:6900:547::/48,48
AS52423,138.59.16.0/24,24
AS52423,179.48.248.0/22,22
AS52423,2803:6900:574::/48,48
AS52423,2803:6900:581::/48,48
AS52423,143.202.162.0/24,24
AS52423,143.202.160.0/22,22
AS52423,138.59.16.0/22,22
AS266673,45.228.136.0/22,24
AS266673,45.228.136.0/22,22
AS266673,2803:8920::/32,32
AS266673,45.228.136.0/22,23
AS262212,190.96.104.0/21,21
AS262212,2801:0:270::/48,48
AS262212,192.188.57.0/24,24
AS52377,200.112.216.0/21,24
AS52377,2803:6a00::/32,32
AS264668,201.182.84.0/22,24
AS265799,201.182.84.0/22,24
AS265799,2803:3020::/32,64
AS262932,170.150.64.0/22,24
AS262932,191.103.96.0/20,24
AS262932,2803:ba80::/32,64
AS266815,45.232.172.0/22,24
AS266815,2803:1720::/32,32
AS267699,45.164.64.0/24,24
AS267699,45.164.65.0/24,24
AS267699,45.164.66.0/24,24
AS267699,45.164.67.0/24,24
AS267699,45.164.64.0/22,22
AS267892,45.175.22.0/24,24
AS267892,2801:18:8800::/48,48
AS14259,2803:d780::/32,32
AS14259,138.0.120.0/22,22
AS262207,186.64.104.0/21,21
AS262207,190.151.128.0/22,22
AS262207,2803:48c0::/32,48
AS7049,170.150.63.0/24,24
AS265750,170.150.60.0/23,23
AS265750,170.150.62.0/24,24
AS45382,131.196.252.0/22,22
AS266878,45.160.72.0/22,24
AS266878,2803:baa0::/32,32
AS14080,181.56.0.0/13,24
AS52269,190.143.127.0/24,24
AS10620,190.143.0.0/18,24
AS10620,200.71.32.0/19,24
AS10620,201.216.0.0/19,24
AS10620,200.118.0.0/16,24
AS10620,201.221.160.0/20,24
AS10620,200.89.224.0/20,24
AS10620,201.216.32.0/19,24
AS10620,190.8.224.0/19,24
AS10620,190.8.192.0/19,24
AS10620,190.84.0.0/16,24
AS10620,190.156.0.0/16,24
AS10620,190.157.0.0/16,24
AS10620,190.158.0.0/16,24
AS10620,190.159.0.0/16,24
AS10620,186.80.0.0/16,24
AS10620,186.81.0.0/16,24
AS10620,186.82.0.0/16,24
AS10620,186.83.0.0/16,24
AS10620,186.84.0.0/16,24
AS10620,186.85.0.0/16,24
AS10620,186.86.0.0/16,24
AS10620,186.87.0.0/16,24
AS10620,186.144.0.0/16,24
AS10620,186.145.0.0/16,24
AS10620,186.146.0.0/16,24
AS10620,186.147.0.0/16,24
AS10620,190.146.0.0/16,24
AS10620,190.147.0.0/16,24
AS10620,181.56.0.0/13,24
AS267818,45.173.120.0/22,22
AS267818,45.173.121.0/24,24
AS27996,190.114.232.0/21,24
AS27996,200.71.88.0/21,24
AS267828,2803:b860::/32,32
AS267828,45.173.216.0/22,22
AS267828,45.173.216.0/23,24
